cell_id	x	y	celltype	valve	score__Valve_defects	z__Valve_defects	score__Atrioventricular_septal_defect	z__Atrioventricular_septal_defect	score__Atrial_septal_defect	z__Atrial_septal_defect	score__Ventricular_septal_defect	z__Ventricular_septal_defect	score__Malformation_of_the_outflow_tract	z__Malformation_of_the_outflow_tract	score__HypertrophicCardiomyopathy	z__HypertrophicCardiomyopathy	score__DilatedCardiomyopathy	z__DilatedCardiomyopathy	score__PCGC_DeNovoVariants	z__PCGC_DeNovoVariants	score__Single_ventricle_disease	z__Single_ventricle_disease	score__Familial_thoracic_aortic_aneurysm_and_aortic_dissection	z__Familial_thoracic_aortic_aneurysm_and_aortic_dissection
ATR_092_set19__656	18025.773506097652	17294.29281581619	vCM-LV-Compact I	False	0.3373498	-0.86281824	0.36601928	-0.79705137	0.46037027	-0.14000688	0.4361751	0.24281006	0.3835136	-0.6816041	1.4566915	3.4001458	1.089717	3.2192042	0.3834928	-0.7867876	0.5138891	0.032237936	0.42123985	-0.4837901
ATR_092_set19__748	18032.23087134328	17408.88784050539	Pericyte	False	0.4003867	-0.051911566	0.42148894	-0.1614052	0.43306094	-0.5446903	0.3620932	-0.8268286	0.3975542	-0.48155236	0.15823625	-0.43359172	0.21397965	-0.39574453	0.4291496	0.029375719	0.41817272	-0.9707732	1.0164086	1.6292553
ATR_092_set19__83	18179.734585236587	17483.701845367406	vCM-LV-Compact I	False	0.33859846	-0.8467555	0.4077976	-0.318299	0.45395288	-0.23510307	0.4111318	-0.11878017	0.3920371	-0.5601605	1.2133657	2.6817172	0.92727745	2.5486712	0.37602225	-0.92033154	0.5610089	0.52600604	0.450513	-0.37986073
ATR_093_set19__302	18420.856011592048	17257.67185884681	vCM-LV-Compact I	False	0.5374279	1.710987	0.70491517	3.0864747	0.6788713	3.0978515	0.5450196	1.8143722	0.46813944	0.5241535	0.9699321	1.9629705	0.83482265	2.167028	0.51005214	1.4755939	1.0036566	5.1645093	0.43702647	-0.4277424
ATR_093_set19__327	18444.97580407319	17226.16928085116	vCM-LV-Compact I	False	0.39260414	-0.1520263	0.44418332	0.098657586	0.40764314	-0.9213442	0.46214986	0.617849	0.41978186	-0.1648502	0.43230903	0.37561837	0.3464071	0.15090156	0.2851976	-2.543918	0.36840093	-1.4923315	0.6048238	0.1679936
ATR_093_set19__335	18422.00184244186	17206.999704341044	BEC	False	0.37126184	-0.42657378	0.4932588	0.66103065	0.41514778	-0.8101366	0.36287344	-0.8155632	0.39093283	-0.5758942	0.12567748	-0.5297227	0.16030966	-0.6172884	0.4254352	-0.037023313	0.33645982	-1.8270423	0.44338772	-0.40515786
ATR_093_set19__348	18390.79963894646	17215.061608838467	VSMC	False	0.49895328	1.2160493	0.49898762	0.7266791	0.49577293	0.38460758	0.43542728	0.23201245	0.49084547	0.8476713	0.11958542	-0.54770976	0.23905237	-0.29224706	0.49446186	1.1969012	0.46336207	-0.49723428	0.9184959	1.281633
ATR_093_set19__373	18476.835564237947	17237.708597980076	vCM-LV-Compact II	False	0.38143697	-0.2956808	0.4506055	0.17225172	0.4853698	0.23044878	0.44747865	0.40601736	0.4333238	0.028096687	0.9219477	1.8212949	0.77801466	1.9325308	0.40885726	-0.33337125	0.60240036	0.95974725	0.55317533	-0.015375607
ATR_093_set19__541	18327.49743765882	17325.591258107776	BEC	False	0.37357193	-0.3968567	0.3549568	-0.9238201	0.39143914	-1.1614633	0.34181836	-1.119569	0.3865233	-0.6387215	0.15852019	-0.43275338	0.21617876	-0.38666683	0.40266806	-0.44400966	0.35764405	-1.6050528	0.61655325	0.20963691
ATR_093_set19__614	18442.531601001043	17402.782090024783	vCM-LV-Compact I	False	0.3271332	-0.9942446	0.39328128	-0.4846466	0.4499699	-0.29412505	0.40321216	-0.23312865	0.3908598	-0.5769345	1.1214738	2.410403	0.8931183	2.4076662	0.38153344	-0.82181317	0.5750063	0.6726851	0.40633783	-0.5366972
