	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
VEN_201_set8__401	-0.0445	-0.1172	0.1870	-0.4537	0.0766	-0.0346	-0.0794	0.3373	0.0269	-0.1231
VEN_201_set8__405	-0.1126	-0.2001	0.6337	-0.2922	0.9729	-0.1200	-0.1230	-0.1137	-0.1871	-0.1269
VEN_201_set8__426	0.1442	0.1028	0.4337	-0.2758	0.5590	0.1111	0.0056	0.3966	0.1867	0.3088
VEN_201_set8__489	-0.1977	-0.2812	0.5009	-0.4063	0.7789	-0.1846	-0.1534	-0.2171	-0.2596	-0.2298
VEN_201_set8__51	-0.0284	-0.0026	0.4954	-0.1778	0.7481	-0.0553	-0.0191	0.0690	-0.0969	-0.0622
VEN_201_set8__540	0.3151	0.4858	0.5185	0.0999	0.3598	0.3031	0.2958	0.5788	0.3309	0.5291
VEN_201_set8__553	0.0993	0.0943	-0.3728	0.1830	-0.4631	0.0225	0.1166	0.0364	0.1468	0.1474
VEN_201_set8__624	0.1307	0.2292	0.4443	-0.0958	0.7038	0.0511	0.1294	0.2737	0.0408	0.0870
VEN_201_set8__633	0.1244	-0.0124	0.7109	-0.2644	0.8752	0.0640	0.0295	0.1595	0.0786	0.1542
VEN_201_set8__663	-0.4256	-0.4849	-0.6751	-0.6125	-0.9659	-0.4488	-0.1711	-0.6257	-0.3844	-0.4143
VEN_201_set8__686	0.3750	0.4540	-0.4212	0.2698	-0.6123	0.2890	0.4338	0.4447	0.6932	0.5700
VEN_201_set8__705	-0.0168	-0.0200	0.6392	-0.2613	0.9501	-0.0606	-0.0271	-0.0004	-0.0933	-0.0790
VEN_201_set8__73	-0.0346	-0.3367	0.5029	-0.1265	0.6305	-0.1638	-0.1311	0.0301	-0.0804	-0.0778
VEN_201_set8__732	0.4622	0.4704	-0.2117	1.4696	-0.4587	0.2623	0.4314	0.8512	0.2560	0.1689
VEN_201_set8__753	-0.0173	-0.0939	-0.1099	-0.0726	-0.1215	-0.1049	-0.0587	-0.0927	-0.0090	0.0407
VEN_201_set8__76	0.2550	0.1503	0.6664	-0.0732	0.8480	0.1482	0.1049	0.1545	0.2082	0.2239
VEN_201_set8__789	-0.2202	-0.1493	-0.8290	-0.0800	-0.9484	-0.1712	-0.1922	-0.4457	-0.2395	-0.0969
VEN_201_set8__810	0.0915	-0.0955	0.5491	-0.2587	0.6733	-0.0277	0.0970	0.0866	0.0539	0.0976
VEN_201_set8__817	-0.0044	-0.1170	0.6685	-0.2346	0.8526	-0.0561	-0.0191	-0.0555	-0.0879	-0.0322
VEN_201_set8__853	-0.0309	-0.2592	0.5071	-0.3218	0.5693	-0.1149	-0.1326	0.0311	-0.1038	0.0112
VEN_202_set1__156	0.0834	-0.0086	0.4604	-0.0711	0.6053	0.0653	-0.0374	0.0055	0.0675	0.0965
VEN_202_set1__361	0.2338	0.0722	0.4708	-0.1906	0.4995	0.1788	0.0878	0.2849	0.1796	0.3068
VEN_202_set1__414	-0.3845	-0.4792	0.6318	-0.4148	0.3453	-0.4504	-0.2689	-0.4833	-0.4199	-0.4387
VEN_202_set1__415	0.2287	0.1329	0.1172	-0.2318	-0.1020	0.1232	0.2657	0.2609	0.2026	0.1981
VEN_202_set1__485	0.0740	0.0517	0.6408	-0.1396	0.9077	0.0635	-0.0403	0.0402	0.0346	0.1111
VEN_202_set1__493	0.3816	0.3394	-0.2483	0.4691	-0.7088	0.2133	0.4823	0.3483	0.2787	0.2768
VEN_202_set1__539	-0.0804	0.1813	0.1423	-0.1215	0.1626	-0.0937	-0.2448	0.1118	-0.1724	-0.0980
VEN_202_set1__567	0.2014	0.1303	0.7266	-0.0698	0.8751	0.1185	0.1071	0.1310	0.1062	0.1541
VEN_202_set1__572	-0.0023	0.0183	-0.8602	0.2297	-1.0010	0.1412	-0.0634	-0.0487	0.1771	0.1450
VEN_202_set1__621	0.0889	0.0403	0.7135	-0.0738	1.0315	0.0205	-0.0172	0.0570	-0.0095	-0.0093
