,receptor,pathway,tf,tf_PPR,category,subcategory
26826,IL23R_IL12RB1,Th1 and Th2 cell differentiation,RUNX3,0.006776349,Organismal Systems,Immune system
26827,IL23R,Th1 and Th2 cell differentiation,RUNX3,0.006776349,Organismal Systems,Immune system
26828,IL12RB1,Th1 and Th2 cell differentiation,RUNX3,0.006776349,Organismal Systems,Immune system
26829,IL23R_IL12RB1,Th1 and Th2 cell differentiation,TBX21,0.039733173,Organismal Systems,Immune system
26830,IL23R,Th1 and Th2 cell differentiation,TBX21,0.039733173,Organismal Systems,Immune system
26831,IL12RB1,Th1 and Th2 cell differentiation,TBX21,0.039733173,Organismal Systems,Immune system
26832,CD4,Th17 cell differentiation,FOS,0.013240216,Organismal Systems,Immune system
26833,CD4,Th17 cell differentiation,HIF1A,0.005077654,Organismal Systems,Immune system
26834,CD4,Th17 cell differentiation,JUN,0.017513406,Organismal Systems,Immune system
26835,CD4,Th17 cell differentiation,MAPK1,0.014084721,Organismal Systems,Immune system
26836,CD4,Th17 cell differentiation,MAPK10,0.014084721,Organismal Systems,Immune system
26837,CD4,Th17 cell differentiation,MAPK11,0.015081846,Organismal Systems,Immune system
26838,CD4,Th17 cell differentiation,MAPK12,0.015081846,Organismal Systems,Immune system
26839,CD4,Th17 cell differentiation,MAPK13,0.015081846,Organismal Systems,Immune system
26840,CD4,Th17 cell differentiation,MAPK14,0.015081846,Organismal Systems,Immune system
26841,CD4,Th17 cell differentiation,MAPK3,0.014084721,Organismal Systems,Immune system
26842,CD4,Th17 cell differentiation,MAPK8,0.014084721,Organismal Systems,Immune system
26843,CD4,Th17 cell differentiation,MAPK9,0.014084721,Organismal Systems,Immune system
26844,CD4,Th17 cell differentiation,RORA,0.023681414,Organismal Systems,Immune system
26845,CD4,Th17 cell differentiation,RORC,0.023681414,Organismal Systems,Immune system
26846,CD4,Th17 cell differentiation,STAT3,0.022408536,Organismal Systems,Immune system
26847,CD4,Th17 cell differentiation,IRF4,0.006504157,Organismal Systems,Immune system
26848,IL4R,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
26849,IL4R,Th17 cell differentiation,HIF1A,0.013937737,Organismal Systems,Immune system
26850,IL4R,Th17 cell differentiation,RORA,0.127745996,Organismal Systems,Immune system
26851,IL4R,Th17 cell differentiation,RORC,0.127745996,Organismal Systems,Immune system
26852,IL4R,Th17 cell differentiation,STAT3,0.071345385,Organismal Systems,Immune system
26853,IL4R,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
26854,TGFBR2,Th17 cell differentiation,FOXP3,0.059344185,Organismal Systems,Immune system
26855,TGFBR2,Th17 cell differentiation,HIF1A,0.019447795,Organismal Systems,Immune system
26856,TGFBR2,Th17 cell differentiation,RORA,0.104234701,Organismal Systems,Immune system
26857,TGFBR2,Th17 cell differentiation,RORC,0.104234701,Organismal Systems,Immune system
26858,TGFBR2,Th17 cell differentiation,RUNX1,0.034095189,Organismal Systems,Immune system
26859,TGFBR2,Th17 cell differentiation,SMAD2,0.13221192,Organismal Systems,Immune system
26860,TGFBR2,Th17 cell differentiation,SMAD3,0.13221192,Organismal Systems,Immune system
26861,TGFBR2,Th17 cell differentiation,SMAD4,0.13221192,Organismal Systems,Immune system
26862,TGFBR2,Th17 cell differentiation,STAT3,0.103624382,Organismal Systems,Immune system
26863,IL12RB1_IL12RB2,Th17 cell differentiation,HIF1A,0.041282044,Organismal Systems,Immune system
26864,IL12RB1,Th17 cell differentiation,HIF1A,0.041282044,Organismal Systems,Immune system
26865,IL12RB2,Th17 cell differentiation,HIF1A,0.041282044,Organismal Systems,Immune system
26866,IL12RB1_IL12RB2,Th17 cell differentiation,RORA,0.071046672,Organismal Systems,Immune system
26867,IL12RB1,Th17 cell differentiation,RORA,0.071046672,Organismal Systems,Immune system
26868,IL12RB2,Th17 cell differentiation,RORA,0.071046672,Organismal Systems,Immune system
