	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
VEN_076_set22__325	-0.5060	-0.2675	-0.1647	-0.5366	-0.1044	-0.4221	-0.6387	-0.2905	-0.5048	-0.5619
VEN_076_set22__331	0.3607	0.3477	0.7761	0.0914	0.8585	0.3138	0.3177	0.4104	0.3045	0.3882
VEN_076_set22__419	-0.3038	-0.2432	0.1386	-0.3328	0.1965	-0.2517	-0.3632	-0.3128	-0.3341	-0.2436
VEN_076_set22__464	0.2966	0.4842	0.3434	-0.6317	0.1947	0.0785	-0.0199	0.4475	0.2822	0.1415
VEN_076_set22__499	0.1384	0.1258	-0.3646	0.1284	-0.5344	0.1000	0.1410	0.0585	0.2513	-0.0173
VEN_076_set22__592	0.0920	0.1569	0.5897	-0.0142	0.5940	0.1008	0.0441	0.1474	0.0380	0.1346
VEN_076_set22__617	0.0386	0.0991	0.4932	-0.1793	0.5541	0.0479	-0.0238	0.1615	0.0092	0.1059
VEN_076_set22__88	-0.0464	0.0035	0.3481	-0.1555	0.5138	-0.0735	-0.1560	-0.0100	-0.1035	0.0029
VEN_076_set23__129	-0.3121	-0.4592	-0.6032	-0.0027	-0.6615	-0.1999	-0.3002	-0.2142	-0.2620	-0.2920
VEN_076_set23__152	0.4197	0.4734	-0.1778	1.0395	-0.5787	0.4935	0.3696	0.4771	0.5503	0.5077
VEN_076_set23__200	0.2382	-0.0326	-0.3054	0.5929	-0.4930	0.0913	0.0765	0.2337	0.2098	0.0705
VEN_076_set23__242	0.0796	0.1138	0.5133	-0.0191	0.6036	0.1015	0.0663	0.1594	0.0501	0.1471
VEN_076_set23__295	0.2938	0.2180	-0.1965	0.8131	-0.4230	0.2897	0.4058	0.3456	0.3143	0.1776
VEN_076_set23__341	0.4600	0.3804	0.8193	0.1797	0.8547	0.3499	0.3944	0.4806	0.3602	0.4730
VEN_076_set23__408	0.2014	0.1327	0.6152	0.0154	0.6663	0.0963	0.1497	0.2702	0.1513	0.2395
VEN_076_set23__461	-0.0571	-0.0966	0.3539	-0.1130	0.4576	-0.1012	-0.1581	0.0602	-0.1415	-0.1116
VEN_076_set23__479	0.3037	0.3279	0.7442	0.0731	0.7458	0.2446	0.2124	0.3966	0.2428	0.2975
VEN_076_set23__480	-0.0100	-0.0376	0.4185	-0.1837	0.5225	-0.1267	0.0059	0.0952	-0.0460	0.0635
VEN_076_set23__502	0.1103	-0.0217	-0.2558	0.4555	-0.5159	0.1691	0.1378	-0.1519	0.1120	0.0543
