gene	peak_celltype	lineage	source	peak_mean
NALCN	LEC	Endothelial	imputed	0.2139
NEXN	vCM-RV-Compact	vCM	imputed	1.9679
NF1	VSMC	Mural	imputed	1.4082
NGFR	Neuronal	Neural	imputed	0.1304
NIPBL	WBC	Immune	imputed	1.5561
NKX2-5	vCM-IVS-His	vCM	direct	0.6689
NKX2-6	BEC	Endothelial	imputed	0.0000
NODAL	aEndocardial	Endothelial	imputed	0.0104
NONO	vCM-RV-Proliferating	vCM	imputed	0.5810
NOTCH1	LEC	Endothelial	direct	1.3723
NOTCH2	Pericyte	Mural	imputed	0.7732
NPHP3	aEndocardial	Endothelial	imputed	0.1762
NPHP4	Neuronal	Neural	imputed	0.1071
NR2F2	LEC	Endothelial	direct	1.6312
NR6A1	vCM-RV-Proliferating	vCM	imputed	0.6197
NRAS	vCM-RV-Proliferating	vCM	imputed	0.1900
NSD1	vEndocardial	Endothelial	imputed	0.8272
NSD2	vCM-RV-Proliferating	vCM	imputed	0.8281
NUP188	Neuronal	Neural	imputed	0.1317
PBX1	adFibro	Fibroblast	imputed	2.2675
PIGL	adFibro	Fibroblast	imputed	0.2525
PIGV	VEC	Endothelial	imputed	0.0256
PITX2	Epicardial	Fibroblast	direct	0.1208
PKD1L1	BEC	Endothelial	imputed	0.0882
PLN	vCM-RV-Compact	vCM	direct	2.9990
POGZ	VEC	Endothelial	imputed	0.7920
PPCS	aCM-LA	aCM	imputed	0.1393
PPL	LEC	Endothelial	imputed	0.0637
PRKACB	Neuronal	Neural	imputed	0.8462
PRKAG2	aCM-LA	aCM	imputed	1.7028
PRKD1	adFibro	Fibroblast	imputed	1.3451
PRKG1	Compact vFibro	Fibroblast	imputed	3.3723
